brand,name,release_year,launch_price,pixel_rate,texture_rate,fp16,fp32,fp64,memory_size,source_url
AMD,AMD FirePro S9150,2014,3999,57.60 GPixel/s,158.4 GTexel/s,,5.069 TFLOPS,2.534 TFLOPS (1:2),16 GB,https://www.techpowerup.com/gpu-specs/firepro-s9150.c2608
AMD,AMD FirePro W2100,2014,139,5.440 GPixel/s,13.60 GTexel/s,,435.2 GFLOPS,27.20 GFLOPS (1:16),2 GB,https://www.techpowerup.com/gpu-specs/firepro-w2100.c2612
AMD,AMD FirePro W4100,2014,179,10.08 GPixel/s,20.16 GTexel/s,,645.1 GFLOPS,40.32 GFLOPS (1:16),2 GB,https://www.techpowerup.com/gpu-specs/firepro-w4100.c2611
AMD,AMD FirePro W5100,2014,399,14.88 GPixel/s,44.64 GTexel/s,,"1,428.5 GFLOPS",89.28 GFLOPS (1:16),4 GB,https://www.techpowerup.com/gpu-specs/firepro-w5100.c2585
AMD,AMD FirePro W7100,2014,799,29.44 GPixel/s,103.0 GTexel/s,3.297 TFLOPS (1:1),3.297 TFLOPS,206.1 GFLOPS (1:16),8 GB,https://www.techpowerup.com/gpu-specs/firepro-w7100.c2610
AMD,AMD FirePro W8100,2014,1249,52.74 GPixel/s,131.8 GTexel/s,,4.219 TFLOPS,2.109 TFLOPS (1:2),8 GB,https://www.techpowerup.com/gpu-specs/firepro-w8100.c2588
AMD,AMD FirePro W9100,2014,,59.52 GPixel/s,163.7 GTexel/s,,5.238 TFLOPS,2.619 TFLOPS (1:2),16 GB,https://www.techpowerup.com/gpu-specs/firepro-w9100.c2562
AMD,AMD FirePro S9170,2015,,59.52 GPixel/s,163.7 GTexel/s,,5.238 TFLOPS,2.619 TFLOPS (1:2),32 GB,https://www.techpowerup.com/gpu-specs/firepro-s9170.c2744
AMD,AMD FirePro W4300,2015,,14.88 GPixel/s,44.64 GTexel/s,,"1,428.5 GFLOPS",89.28 GFLOPS (1:16),4 GB,https://www.techpowerup.com/gpu-specs/firepro-w4300.c2781
AMD,AMD FirePro S7150,2016,2399,29.44 GPixel/s,117.8 GTexel/s,7.537 TFLOPS (2:1),3.768 TFLOPS,235.5 GFLOPS (1:16),8 GB,https://www.techpowerup.com/gpu-specs/firepro-s7150.c2751
AMD,AMD FirePro S7150 x2,2016,3999,29.44 GPixel/s,103.0 GTexel/s,3.297 TFLOPS (1:1),3.297 TFLOPS,206.1 GFLOPS (1:16),8 GB,https://www.techpowerup.com/gpu-specs/firepro-s7150-x2.c2812
